own_sums,useable ace,dealer_card,reward,game over
15,False,2,0.0,False
25,False,2,-1.0,True
5,False,2,0.0,False
5,False,2,1.0,True
20,False,10,0.0,False
30,False,10,-1.0,True
8,False,6,0.0,False
18,False,6,0.0,False
27,False,6,-1.0,True
14,False,6,0.0,False
17,False,6,0.0,False
19,False,6,0.0,False
19,False,6,1.0,True
20,False,10,0.0,False
20,False,10,-1.0,True
15,False,3,0.0,False
25,False,3,-1.0,True
19,False,6,0.0,False
19,False,6,0.0,True
18,True,5,0.0,False
18,True,5,1.0,True
15,False,9,0.0,False
21,False,9,0.0,False
26,False,9,-1.0,True
18,True,10,0.0,False
18,True,10,1.0,True
12,False,2,0.0,False
12,False,2,-1.0,True
9,False,9,0.0,False
9,False,9,-1.0,True
7,False,9,0.0,False
17,False,9,0.0,False
23,False,9,-1.0,True
16,False,10,0.0,False
16,False,10,-1.0,True
12,False,9,0.0,False
22,False,9,-1.0,True
20,False,1,0.0,False
27,False,1,-1.0,True
18,False,10,0.0,False
26,False,10,-1.0,True
6,False,1,0.0,False
6,False,1,-1.0,True
10,False,7,0.0,False
18,False,7,0.0,False
18,False,7,1.0,True
10,False,9,0.0,False
10,False,9,-1.0,True
19,True,10,0.0,False
19,True,10,1.0,True
16,False,3,0.0,False
16,False,3,-1.0,True
21,True,4,0.0,False
21,True,4,1.0,True
11,False,4,0.0,False
11,False,4,-1.0,True
15,False,10,0.0,False
25,False,10,-1.0,True
16,True,5,0.0,False
16,True,5,-1.0,True
17,False,10,0.0,False
17,False,10,-1.0,True
9,False,7,0.0,False
16,False,7,0.0,False
16,False,7,-1.0,True
9,False,6,0.0,False
9,False,6,-1.0,True
15,False,9,0.0,False
15,False,9,-1.0,True
15,False,5,0.0,False
15,False,5,-1.0,True
10,False,7,0.0,False
20,False,7,0.0,False
24,False,7,-1.0,True
20,False,10,0.0,False
20,False,10,1.0,True
16,False,2,0.0,False
22,False,2,-1.0,True
14,False,10,0.0,False
14,False,10,-1.0,True
21,True,3,0.0,False
18,False,3,0.0,False
18,False,3,-1.0,True
14,False,9,0.0,False
22,False,9,-1.0,True
11,False,2,0.0,False
17,False,2,0.0,False
27,False,2,-1.0,True
10,False,1,0.0,False
19,False,1,0.0,False
19,False,1,1.0,True
13,False,3,0.0,False
13,False,3,-1.0,True
11,False,10,0.0,False
11,False,10,-1.0,True
12,False,4,0.0,False
19,False,4,0.0,False
